,index,access,bridge,highway,junction,lanes,length,maxspeed,oneway,tunnel,geometry,name,osmid,ref,service,width
2713,2713,missing,missing,motorway,missing,3.0,1372.912,120.0,True,yes,"LINESTRING (589143.6149544313 4514794.386153621, 589158.2608471055 4514753.483634042, 589182.1862295873 4514688.423068691, 589188.531255427 4514669.647624255, 589194.0595250744 4514651.417463257, 589199.1877199529 4514632.771695521, 589204.1774332484 4514613.713472947, 589210.4857671791 4514587.487884903, 589216.7840979586 4514561.395410466, 589223.5918229558 4514531.556466026, 589227.3709451028 4514515.614546507, 589229.6618270446 4514502.707851799, 589230.9683559206 4514491.643394385, 589232.5923766368 4514471.745244812, 589233.7774229378 4514449.055098841, 589233.1616437668 4514424.522449335, 589231.9509592464 4514408.731329096, 589229.7232116926 4514394.693232798, 589226.8349690494 4514382.234820805, 589222.5285605877 4514367.694268687, 589217.9137762308 4514352.82803331, 589214.0719016459 4514340.358134578, 589207.8594438868 4514324.995248684, 589201.7784048943 4514312.032072768, 589194.7611337703 4514297.614308885, 589185.06300651 4514280.133296827, 589168.9034970461 4514254.625143213, 589090.8489446798 4514138.875418185, 589078.4483161647 4514120.085264356, 589065.1106110563 4514101.306064453, 589056.1546582173 4514086.631975767, 589047.3238421343 4514073.480432815, 589036.9830180344 4514059.555777623, 589018.9729873403 4514037.645113098, 588995.7548744543 4514012.241247069, 588972.8095281541 4513988.006488629, 588955.4980855394 4513973.254326705, 588939.5871364431 4513959.251789897, 588922.6228664949 4513943.693405552, 588906.7010145374 4513926.371198529, 588898.045804179 4513914.021330519, 588889.7967150466 4513903.696984218, 588875.1975964031 4513883.048913792, 588854.6872279721 4513852.781877289, 588797.2705847205 4513772.133657705, 588787.4821912815 4513759.226324807, 588777.1678207575 4513744.425294685, 588750.1787098629 4513704.621669457, 588722.6447172475 4513664.478552626, 588708.8169693513 4513644.184261333, 588687.2015019588 4513612.339063141)",FDR Drive,"[455688832, 32960691, 5671901, 455688838]",,,
2714,2714,missing,missing,residential,missing,4.0,315.82099999999997,25.0,True,missing,"LINESTRING (589613.808240155 4515844.0269171, 589587.4223957716 4515761.005230959, 589565.1695767384 4515770.805751733, 589504.3884089979 4515803.488617141, 589422.8239646617 4515847.345169558, 589384.9682166607 4515867.693722127)","['FDR Drive', 'East 105th Street']","[5673377, 32962118]",,,
2715,2715,missing,missing,residential,missing,4.0,212.94800000000004,25.0,False,missing,"LINESTRING (589613.808240155 4515844.0269171, 589605.8583498972 4515848.282795608, 589578.5944219485 4515862.87435544, 589535.9151177496 4515885.717312054, 589473.7609525527 4515918.983321651, 589425.80800998 4515944.649759685)",East 106th Street,355192293,,,
2716,2716,missing,missing,residential,missing,4.0,75.41199999999999,25.0,True,missing,"LINESTRING (584693.5268881086 4507433.593880408, 584695.6925985635 4507423.704430494, 584709.8004407733 4507360.072845113)",Catherine Street,5670536,,,
2717,2717,missing,missing,secondary,missing,4.0,232.24900000000002,25.0,False,missing,"LINESTRING (584693.5268881086 4507433.593880408, 584700.4107476497 4507434.427414603, 584924.5997433391 4507461.54828572)",East Broadway,5673424,,,
2718,2718,missing,missing,secondary,missing,4.0,67.881,25.0,False,missing,"LINESTRING (584693.5268881086 4507433.593880408, 584687.7477661966 4507432.9283931, 584673.4732407555 4507431.255570285, 584669.2528215587 4507430.952053082, 584665.1733350136 4507430.883290735, 584661.888934275 4507431.467525817, 584658.8684935467 4507432.609879436, 584655.6286535334 4507434.471367006, 584652.5346483545 4507436.878522826, 584641.357701613 4507448.774564861, 584638.4755942696 4507451.861371873, 584635.6116105898 4507455.581206266)",East Broadway,"[421824309, 196117014]",,,
2719,2719,missing,missing,residential,missing,4.0,65.327,25.0,True,missing,,Market Street,5672911,,,
2720,2720,missing,missing,secondary,missing,4.0,52.065,25.0,False,missing,,East Broadway,5673424,,,
2721,2721,missing,missing,secondary,missing,4.0,232.24900000000002,25.0,False,missing,"LINESTRING (584924.5997433391 4507461.54828572, 584700.4107476497 4507434.427414603, 584693.5268881086 4507433.593880408)",East Broadway,5673424,,,
2722,2722,missing,missing,secondary,missing,4.0,82.138,25.0,False,missing,,East Broadway,5673424,,,
