,access,bridge,geometry,highway,junction,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,width
1038,,,"LINESTRING (587845.0487731519 4518832.222323411, 587831.8055000368 4518850.717036868, 587820.0459822847 4518867.153246082, 587798.6459451197 4518897.042127888, 587750.5199056563 4518964.273182287)",primary,,,162.45499999999998,,West 125th Street,False,"[68668548, 420590070]",,,,
1039,,,,residential,,,146.243,,West 129th Street,True,165470388,,,,
1040,,,,primary,,,71.48,,Broadway,True,195743150,,,,
1041,,,,primary,,,79.798,,Broadway,True,195743150,,,,
1042,,,,residential,,,262.12,,West 131st Street,False,5670677,,,,
1043,,,,primary,,,76.761,,Broadway,True,195743150,,,,
1044,,,"LINESTRING (587953.7704932257 4519032.493061848, 587964.2644512642 4519026.72254587, 587969.8339577818 4519023.669044074)",residential,,,18.303,,West 131st Street,False,5670677,,,,
1045,,,,residential,,,261.265,,West 132nd Street,False,5669820,,,,
1046,,,,primary,,,80.588,,Broadway,True,195743150,,,,
1047,,,"LINESTRING (587991.2831887011 4519103.750911544, 588002.1944138038 4519097.641242477, 588007.2806675738 4519094.7929623)",residential,,,18.311,,West 132nd Street,False,247047850,,,,
1048,,,,residential,,,261.311,,West 133rd Street,False,5670226,,,,
1049,,,,primary,,,79.704,,Broadway,True,195743150,,,,
1050,,,"LINESTRING (588029.1636183654 4519173.814295487, 588040.6522098768 4519167.378487654, 588045.1609972296 4519164.85642893)",residential,,,18.311999999999998,,West 133rd Street,False,5670226,,,,
1051,,,,primary,,,165.745,,Broadway,True,195743150,,,,
1052,,,,tertiary,,,225.388,,West 135th Street,False,455688156,,,,
1053,,,"LINESTRING (588107.8664735659 4519319.550231633, 588118.6729814465 4519313.717051412, 588124.0040965241 4519310.838465501)",tertiary,,,18.314999999999998,,West 135th Street,False,195743206,,,,
1054,,,,residential,,,181.982,,West 137th Street,True,5671331,,,,
1055,,,,primary,,,78.122,,Broadway,True,525667716,,,,
1056,,,,primary,,,80.532,,Broadway,True,223503127,,,,
1057,,,"LINESTRING (588222.7817423041 4519533.188967001, 588021.6154892966 4519641.137511764, 588010.8693530245 4519646.904925752, 587902.9933909887 4519492.762473332)",residential,,,428.371,,"['West 138th Street', '12th Avenue']",True,"[5670405, 5670759]",,,,
1058,,,,residential,,,194.95,,West 139th Street,True,5673305,,,,
1059,,,,primary,,,78.569,,Broadway,True,223503127,,,,
1060,,,,primary,,,78.859,,Broadway,True,223503127,,,,
1061,,,"LINESTRING (588297.804316413 4519671.466839757, 588307.4047987206 4519666.307885154, 588313.9578908666 4519662.788996438)",residential,,,18.312,,West 140th Street,True,5670203,,,,
1062,,,,primary,,,79.142,,Broadway,True,223503127,,,,
1063,,,"LINESTRING (588335.4911788253 4519740.996787685, 588181.2228436195 4519824.010432109, 588174.270844029 4519827.757825491)",residential,,,182.838,,West 141st Street,True,234726492,,,,
1064,,,,primary,,,80.933,,Broadway,True,223503127,,,,
1065,,,"LINESTRING (588373.619731685 4519812.319735395, 588383.6363430957 4519806.910501969, 588389.756631732 4519803.608554997)",residential,,,18.314,,West 142nd Street,True,5670688,,,,
1066,,,"LINESTRING (588410.7180304356 4519881.576624257, 588404.4875080871 4519884.932746318, 588285.2436562263 4519949.100506003)",residential,,,142.298,,West 143rd Street,True,5671137,,,,
1067,,,"LINESTRING (588410.7180304356 4519881.576624257, 588407.3603605097 4519875.319066932, 588373.619731685 4519812.319735395)",primary,,,78.623,,Broadway,True,223503127,,,,
1068,,,"LINESTRING (588448.1274201681 4519950.149096551, 588458.3646122344 4519944.620479923, 588464.2556857634 4519941.437979431)",residential,,,18.306,,West 144th Street,True,5671257,,,,
1069,,,"LINESTRING (588448.1274201681 4519950.149096551, 588414.5225507035 4519888.550088236, 588410.7180304356 4519881.576624257)",primary,,,78.166,,Broadway,True,223503127,,,,
1070,,,,secondary,,,134.253,,West 145th Street,False,68668550,,,,
1071,,,,primary,,,86.916,,Broadway,True,223503127,,,,
1072,,,"LINESTRING (588489.3974273351 4520026.573060794, 588500.006902762 4520020.937936791, 588505.345575631 4520018.104133097)",secondary,,,18.033,,West 145th Street,False,524558207,,,,
1073,,,,primary,,,84.597,,Broadway,True,223503127,,,,
1074,,,"LINESTRING (588529.229848253 4520101.137052163, 588539.7468946874 4520095.467571788, 588545.3661913943 4520092.437315681)",residential,,,18.308,,West 146th Street,True,5673106,,,,
1075,,,,residential,,,116.746,,West 147th Street,True,5671685,,,,
1076,,,,primary,,,79.083,,Broadway,True,223503127,,,,
1077,,,,primary,,,79.921,,Broadway,True,223503127,,,,
1078,,,"LINESTRING (588604.7537072634 4520240.934432197, 588616.5438290489 4520234.580873878, 588620.8898453696 4520232.234862207)",residential,,1,18.307000000000002,,West 148th Street,True,5670774,,,,
1079,,,,residential,,,128.998,,West 149th Street,True,5670252,,,,
1080,,,,primary,,,77.42,,Broadway,True,223503127,,,,
1081,,,,primary,,,79.922,,Broadway,True,223503127,,,,
1082,,,"LINESTRING (588679.1854919087 4520379.431698043, 588691.6202935331 4520372.75292552, 588695.329591867 4520370.754595173)",residential,,,18.304000000000002,,West 150th Street,True,5671119,,,,
1083,,,,primary,,,78.939,,Broadway,True,223503127,,,,
1084,,,"LINESTRING (588716.5706281842 4520448.893632635, 588583.7100382159 4520520.376036642, 588577.9213422501 4520523.493045949)",residential,,,157.233,,West 151st Street,True,5672585,,,,
1085,,,,primary,,,79.587,,Broadway,True,223503127,,,,
1086,,,"LINESTRING (588754.5063399093 4520518.795395548, 588766.8733957765 4520512.12704143, 588770.6420700552 4520510.096155724)",residential,,,18.307000000000002,,West 152nd Street,True,5671189,,,,
1087,,,,primary,,,79.298,,Broadway,True,455684729,,,,
1088,,yes,"LINESTRING (588792.1482032643 4520588.527311906, 588562.6225999994 4520711.419184522, 588554.3644981652 4520715.838904875)",residential,,,269.358,,West 153rd Street,True,"[5671921, 46577966]",,,,
1089,,,,primary,,,165.619,,Broadway,True,455684729,,,,
1090,,,"LINESTRING (588870.6349708171 4520734.236636969, 588883.7350478407 4520726.900048431, 588886.6301197511 4520725.280607808)",primary,,,18.308,,West 155th Street,False,196117078,,,,
1091,,,,primary,,,83.489,,Broadway,True,223503125,,,,
1092,,,"LINESTRING (588910.2200520504 4520807.678651838, 588923.4601716266 4520800.610281178, 588926.3882823222 4520799.046766761)",residential,,,18.303,,West 156th Street,True,5670175,,,,
1093,,,,secondary,,,38.071,,West 157th Street,True,46577954,,,,
1094,,,"LINESTRING (588949.7730034327 4520880.920677367, 588942.4481710438 4520867.354028838, 588926.495117573 4520837.806923733, 588925.4722001677 4520835.918285357, 588923.0306063655 4520831.392376815)",primary,,,56.325,,Broadway,True,195743145,,,,
1095,,,,primary,,,75.907,,Broadway,True,195743145,,,,
1096,,,,secondary,,,82.913,,West 158th Street,False,440122910,,,,
1097,,,"LINESTRING (588985.6838242938 4520947.735122425, 588998.9300657789 4520940.844604423, 589001.9424523676 4520939.282136064)",secondary,,,18.3,,West 158th Street,False,46577955,,,,
1098,,,,primary,,,79.182,,Broadway,True,223508330,,,,
1099,,,"LINESTRING (589061.1229698906 4521088.191869482, 589074.2439099534 4521081.188954012, 589077.2992164667 4521079.560419603)",residential,,,18.311,,West 160th Street,True,5671463,,,,
1100,,,,residential,,,106.254,,West 161st Street,True,204082722,,,,
1101,,,,primary,,,78.851,,Broadway,True,223508330,,,,
1102,,,,primary,,,80.293,,Broadway,True,223508330,,,,
1103,,,"LINESTRING (589136.7174840852 4521228.107350163, 589149.5926849101 4521221.190426567, 589152.8603358162 4521219.431256751)",residential,,,18.302,,West 162nd Street,True,5672052,,,,
1104,,,,primary,,,75.417,,Broadway,True,223508330,,,,
1105,,,"LINESTRING (589172.8267791991 4521294.259080335, 589166.366876093 4521297.822722892, 589052.7506454297 4521360.169406636, 589049.4062658504 4521362.005411305)",residential,,,140.606,,West 163rd Street,True,196117079,,,,
1106,,,,primary,,,82.311,,Broadway,True,223508330,,,,
1107,,,"LINESTRING (589211.6920212456 4521366.750538933, 589223.8829523687 4521359.925405932, 589227.6862663468 4521357.795254774)",residential,,,18.307,,West 164th Street,True,5671461,,,,
1108,,,,secondary,,,183.909,,West 165th Street,False,223508325,,,,
1109,,,,primary,,,95.72,,Broadway,True,223508330,,,,
1110,,,"LINESTRING (589256.9659278896 4521451.010649674, 589268.7916945694 4521444.392127804, 589272.9600523881 4521442.05546443)",secondary,,,18.306,,West 165th Street,False,68196323,,,,
1111,,,,primary,,,87.287,,Broadway,True,541442321,,,,
1112,,,"LINESTRING (589298.3662836106 4521527.785540096, 589309.7930421818 4521521.384311922, 589314.3602984098 4521518.830445301)",residential,,,18.307,,West 166th Street,False,541442323,,,,
1113,,,"LINESTRING (589373.8145290758 4521661.606732134, 589382.842952406 4521656.198030528, 589386.2488554551 4521654.15197357)",tertiary,,,14.481,,West 168th Street,False,196117080,,,,
1114,,,"LINESTRING (589373.8145290758 4521661.606732134, 589345.5012102044 4521611.380415363, 589333.5566085334 4521590.196603751, 589298.3662836106 4521527.785540096)",primary,,,153.723,,Broadway,True,541442319,,,,
